ID,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,CITY,COUNTRY,DATE,HOUR,SULPHURDIOXIDE_SO2_COLUMN_NUMBER_DENSITY,SULPHURDIOXIDE_SO2_COLUMN_NUMBER_DENSITY_AMF,SULPHURDIOXIDE_SO2_SLANT_COLUMN_NUMBER_DENSITY,SULPHURDIOXIDE_CLOUD_FRACTION,SULPHURDIOXIDE_SENSOR_AZIMUTH_ANGLE,SULPHURDIOXIDE_SENSOR_ZENITH_ANGLE,SULPHURDIOXIDE_SOLAR_AZIMUTH_ANGLE,SULPHURDIOXIDE_SOLAR_ZENITH_ANGLE,SULPHURDIOXIDE_SO2_COLUMN_NUMBER_DENSITY_15KM,MONTH,CARBONMONOXIDE_CO_COLUMN_NUMBER_DENSITY,CARBONMONOXIDE_H2O_COLUMN_NUMBER_DENSITY,CARBONMONOXIDE_CLOUD_HEIGHT,CARBONMONOXIDE_SENSOR_ALTITUDE,CARBONMONOXIDE_SENSOR_AZIMUTH_ANGLE,CARBONMONOXIDE_SENSOR_ZENITH_ANGLE,CARBONMONOXIDE_SOLAR_AZIMUTH_ANGLE,CARBONMONOXIDE_SOLAR_ZENITH_ANGLE,NITROGENDIOXIDE_NO2_COLUMN_NUMBER_DENSITY,NITROGENDIOXIDE_TROPOSPHERIC_NO2_COLUMN_NUMBER_DENSITY,NITROGENDIOXIDE_STRATOSPHERIC_NO2_COLUMN_NUMBER_DENSITY,NITROGENDIOXIDE_NO2_SLANT_COLUMN_NUMBER_DENSITY,NITROGENDIOXIDE_TROPOPAUSE_PRESSURE,NITROGENDIOXIDE_ABSORBING_AEROSOL_INDEX,NITROGENDIOXIDE_CLOUD_FRACTION,NITROGENDIOXIDE_SENSOR_ALTITUDE,NITROGENDIOXIDE_SENSOR_AZIMUTH_ANGLE,NITROGENDIOXIDE_SENSOR_ZENITH_ANGLE,NITROGENDIOXIDE_SOLAR_AZIMUTH_ANGLE,NITROGENDIOXIDE_SOLAR_ZENITH_ANGLE,FORMALDEHYDE_TROPOSPHERIC_HCHO_COLUMN_NUMBER_DENSITY,FORMALDEHYDE_TROPOSPHERIC_HCHO_COLUMN_NUMBER_DENSITY_AMF,FORMALDEHYDE_HCHO_SLANT_COLUMN_NUMBER_DENSITY,FORMALDEHYDE_CLOUD_FRACTION,FORMALDEHYDE_SOLAR_ZENITH_ANGLE,FORMALDEHYDE_SOLAR_AZIMUTH_ANGLE,FORMALDEHYDE_SENSOR_ZENITH_ANGLE,FORMALDEHYDE_SENSOR_AZIMUTH_ANGLE,UVAEROSOLINDEX_ABSORBING_AEROSOL_INDEX,UVAEROSOLINDEX_SENSOR_ALTITUDE,UVAEROSOLINDEX_SENSOR_AZIMUTH_ANGLE,UVAEROSOLINDEX_SENSOR_ZENITH_ANGLE,UVAEROSOLINDEX_SOLAR_AZIMUTH_ANGLE,UVAEROSOLINDEX_SOLAR_ZENITH_ANGLE,OZONE_O3_COLUMN_NUMBER_DENSITY,OZONE_O3_COLUMN_NUMBER_DENSITY_AMF,OZONE_O3_SLANT_COLUMN_NUMBER_DENSITY,OZONE_O3_EFFECTIVE_TEMPERATURE,OZONE_CLOUD_FRACTION,OZONE_SENSOR_AZIMUTH_ANGLE,OZONE_SENSOR_ZENITH_ANGLE,OZONE_SOLAR_AZIMUTH_ANGLE,OZONE_SOLAR_ZENITH_ANGLE,UVAEROSOLLAYERHEIGHT_AEROSOL_HEIGHT,UVAEROSOLLAYERHEIGHT_AEROSOL_PRESSURE,UVAEROSOLLAYERHEIGHT_AEROSOL_OPTICAL_DEPTH,UVAEROSOLLAYERHEIGHT_SENSOR_ZENITH_ANGLE,UVAEROSOLLAYERHEIGHT_SENSOR_AZIMUTH_ANGLE,UVAEROSOLLAYERHEIGHT_SOLAR_AZIMUTH_ANGLE,UVAEROSOLLAYERHEIGHT_SOLAR_ZENITH_ANGLE,CLOUD_CLOUD_FRACTION,CLOUD_CLOUD_TOP_PRESSURE,CLOUD_CLOUD_TOP_HEIGHT,CLOUD_CLOUD_BASE_PRESSURE,CLOUD_CLOUD_BASE_HEIGHT,CLOUD_CLOUD_OPTICAL_DEPTH,CLOUD_SURFACE_ALBEDO,CLOUD_SENSOR_AZIMUTH_ANGLE,CLOUD_SENSOR_ZENITH_ANGLE,CLOUD_SOLAR_AZIMUTH_ANGLE,CLOUD_SOLAR_ZENITH_ANGLE,PM2_5
id_91jrbd3haq,644845d4cc09460029083b6e,-1.30728200000000,36.91427200000000,Nairobi,Kenya,2023-05-01,10,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1710954144839756,829519.1161597213,71.75440273050860,63.95796335739217000,-37.114057335212980,20.649030798236343,0.11989561744345731,3.2651612713725090,0.39594257087858553,224.35638011105956,0.6873595042082299,71.75440273050860,63.95796335739217000,-37.114057335212980,20.649030798236343,,,,,,,,,,,,,,,,,,,8.3060000000000010
id_jzwj7i7um7,62fe1f3d365de1001e86eb55,-1.22429200000000,36.80500500000000,Nairobi,Kenya,2023-05-01,10,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2105141878126429,829504.4999998887,71.71599578857422,64.16027832031250000,-37.076572418212890,20.524391174316406,0.11987429857252421,3.2490460872645790,0.39353060722345795,224.96061706539950,0.9999999999998659,71.71599578857422,64.16027832031250000,-37.076572418212890,20.524391174316406,,,,,,,,,,,,,,,,,,,13.9956323529411790
id_l8q4k7isps,6246f308db9c64001e483ffe,-1.23512000000000,36.81215000000000,Nairobi,Kenya,2023-05-01,10,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.214660018616101,829505.1997064474,71.71699013866078,64.16029839129833000,-37.069713577900360,20.529118100240847,0.11979070248397818,3.2506643967643614,0.39345092142819466,224.68126374060470,0.9909694655512109,71.71699013866078,64.16029839129833000,-37.069713577900360,20.529118100240847,,,,,,,,,,,,,,,,,,,10.8109957729468590
id_kqv0uxt604,6246f033b0d23c001ec6440c,-1.23963000000000,36.79376000000000,Nairobi,Kenya,2023-05-01,10,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2490024136147302,829506.4231613107,71.71040311863283,64.27020470611654000,-36.952563766799740,20.527518336389335,0.11950102463071542,3.2576108807391990,0.39442876807964766,226.22431696252150,0.9835938178966543,71.71040311863283,64.27020470611654000,-36.952563766799740,20.527518336389335,,,,,,,,,,,,,,,,,,,9.1237205387205390
id_u50xvtjcas,6448483a87020e00297bee3b,-1.24339600000000,36.88648700000000,Nairobi,Kenya,2023-05-01,10,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2784142494203068,829510.5000000914,71.74089050292969,63.95796966552734400,-37.202869415283200,20.587696075439453,0.12039902806283369,3.2473809719089270,0.39543998241428920,222.93663024904800,0.8015431761742521,71.74089050292969,63.95796966552734400,-37.202869415283200,20.587696075439453,,,,,,,,,,,,,,,,,,,7.7310000000000000
id_1asuox20l2,6448449ac15916001e128cdc,-1.33827500000000,36.74178300000000,Nairobi,Kenya,2023-05-01,10,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2878842982119403,829516.5624998611,71.71860213185366,64.36785937333278000,-36.756893672425670,20.590073850024673,0.11940272885846690,3.2819564290539190,0.39796667085872200,225.10227469951630,0.8857378968427212,71.71860213185366,64.36785937333278000,-36.756893672425670,20.590073850024673,,,,,,,,,,,,,,,,,,,12.6159090909090920
id_jia9glieab,644fa58ae5001000290df1e2,-1.28630100000000,36.83076100000000,Nairobi,Kenya,2023-05-01,10,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2240455445026033,829514.1517760090,71.73083921502987,64.16038330054396000,-36.976692839761580,20.593469232046633,0.11940480799890418,3.2740986654161164,0.39501389116033050,223.51767687782456,0.8244735334564347,71.73083921502987,64.16038330054396000,-36.976692839761580,20.593469232046633,,,,,,,,,,,,,,,,,,,25.0700000000000000
id_oookgj1q0h,644841fe1319140029aced6e,-1.28372400000000,36.81036400000000,Nairobi,Kenya,2023-05-01,10,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2483060462738333,829510.5374001951,71.72507417331991,64.16046133056706000,-37.013954471399760,20.567546051665364,0.11911196705752726,3.2638209213904874,0.39280616989826284,222.41335892529162,0.9175014583177594,71.72507417331991,64.16046133056706000,-37.013954471399760,20.567546051665364,,,,,,,,,,,,,,,,,,,14.4714285714285720
id_0lr2rfmoyt,644faaeee5001000290df29e,-1.28709400000000,36.82167100000000,Nairobi,Kenya,2023-05-01,10,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2395991738054672,829511.8134375990,71.72714318656732,64.16043332640682000,-37.000581662378075,20.576849609870226,0.11921706157928785,3.2675094132513160,0.39359848799584063,222.80968143961186,0.8841146844186932,71.72714318656732,64.16043332640682000,-37.000581662378075,20.576849609870226,,,,,,,,,,,,,,,,,,,8.5838235294117650
id_7plcr0ubf3,644fa673e5001000290df1fa,-1.31108000000000,36.86186500000000,Nairobi,Kenya,2023-05-01,10,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.208010435104986,829516.5625004229,71.73464965820312,64.16033172607422000,-36.952064514160160,20.610603332519530,0.11959836632019419,3.2808918952958620,0.39647310972233957,224.24758911144244,0.7629861235622482,71.73464965820312,64.16033172607422000,-36.952064514160160,20.610603332519530,,,,,,,,,,,,,,,,,,,6.9050000000000000
